supply_id,name,lat,lon,parking_slots,scs_2018,fcs_2018,scs_optimal,fcs_optimal,new_scs,new_fcs
78,Kadugodi #78,13.000922364189542,77.76763297315465,21,0,0,0,21,0,21
79,Hoodi #79,12.996995479831781,77.71366688132188,28,0,0,0,28,0,28
80,KR Puram #80,13.011617090631118,77.69383235708663,15,0,0,0,15,0,15
81,Mahadevapura #81,12.98165522058048,77.68592134380272,37,1,0,1,36,0,36
82,Panathur #82,12.94797143350256,77.70961815962836,9,0,0,0,9,0,9
83,Kundalahalli #83,12.978846955706043,77.7120289710058,40,0,0,0,40,0,40
84,Varthur #84,12.946155371159275,77.74521161576757,31,0,0,0,31,0,31
85,Electronic City Phase 1 #85,12.843233383468192,77.66422498460734,32,0,0,0,32,0,32
86,Electronic City Phase 2 #86,12.838644194779448,77.68695542732422,42,0,0,0,42,0,42
87,Bommanahalli #87,12.902782504170974,77.61761694158706,39,0,1,0,39,0,38
88,Bannerghatta Road #88,12.894096855913217,77.60430981185921,8,0,0,0,8,0,8
89,JP Nagar #89,12.919618505426556,77.57633179645859,9,0,0,0,9,0,9
90,Jayanagar #90,12.940573696990317,77.57916204752205,42,1,0,1,41,0,41
91,Banashankari #91,12.931381197615297,77.54714316813377,21,0,0,0,21,0,21
92,Basavanagudi #92,12.952745317464393,77.56378997417285,15,0,0,0,15,0,15
93,Chamrajpet #93,12.952207351951262,77.57278911514922,21,0,0,0,21,0,21
94,Vijayanagar #94,12.972357229467168,77.53370737514703,14,0,0,0,14,0,14
95,Rajajinagar #95,12.985786201552825,77.55333010225687,30,0,0,0,30,0,30
96,Malleshwaram #96,12.995638026674685,77.57730900127234,16,1,0,1,15,0,15
97,Yeshwanthpur #97,13.028390048838693,77.54186915587204,36,0,0,0,36,0,36
98,Peenya #98,13.04119242147733,77.5246132650317,54,0,0,0,54,0,54
99,Nagarbhavi #99,12.949833626799576,77.50599223724876,34,0,0,0,34,0,34
